year,month,plus,count_plus,minus,count_minus
2011,7,3.0,3.0,-7.0,7.0
2011,8,1.0,1.0,-2.0,2.0
2011,9,1.0,1.0,-4.0,4.0
2012,1,1.0,1.0,-7.0,7.0
2012,2,1.0,1.0,,
2012,3,3.0,3.0,-3.0,3.0
2012,4,3.0,3.0,,
2012,5,4.0,4.0,-6.0,6.0
2012,6,1.0,1.0,-3.0,3.0
2012,7,1.0,1.0,-3.0,3.0
2012,8,2.0,2.0,,
2012,10,1.0,1.0,-1.0,1.0
2012,11,1.0,1.0,-3.0,3.0
2012,12,1.0,1.0,-3.0,3.0
2013,1,2.0,2.0,-2.0,2.0
2013,2,1.0,1.0,-1.0,1.0
2013,3,2.0,2.0,-1.0,1.0
2013,4,1.0,1.0,-2.0,2.0
2013,5,1.0,1.0,-4.0,4.0
2013,6,1.0,1.0,-7.0,7.0
2013,7,1.0,1.0,-8.0,8.0
2013,8,1.0,1.0,-3.0,3.0
2013,9,3.0,3.0,-4.0,4.0
2013,10,1.0,1.0,-5.0,5.0
2013,11,2.0,2.0,-6.0,6.0
2013,12,4.0,4.0,-14.0,14.0
2014,1,4.0,4.0,-10.0,10.0
2014,2,4.0,4.0,-16.0,16.0
2014,3,10.0,10.0,-19.0,19.0
2014,4,6.0,6.0,-12.0,12.0
2014,5,4.0,4.0,-4.0,4.0
2014,6,8.0,8.0,-2.0,2.0
2014,7,6.0,6.0,,
2014,8,1.0,1.0,,
2014,9,2.0,2.0,-1.0,1.0
2014,10,2.0,2.0,-2.0,2.0
2014,11,2.0,2.0,,
2014,12,6.0,6.0,,
2015,1,3.0,3.0,,
2015,2,6.0,6.0,,
2015,3,5.0,5.0,,
2015,5,1.0,1.0,,
2015,6,2.0,2.0,,
2015,9,5.0,5.0,-1.0,1.0
2015,10,1.0,1.0,-1.0,1.0
2016,1,1.0,1.0,,
2016,2,1.0,1.0,,
2016,6,2.0,2.0,-2.0,2.0
2016,7,2.0,2.0,-3.0,3.0
2016,8,3.0,3.0,,
2016,9,7.0,7.0,-2.0,2.0
2016,10,1.0,1.0,,
2016,12,2.0,2.0,,
2017,2,2.0,2.0,,
2017,3,1.0,1.0,,
2017,4,2.0,2.0,,
2017,7,3.0,3.0,-1.0,1.0
2017,8,1.0,1.0,,
2017,9,1.0,1.0,,
2017,11,1.0,1.0,-3.0,3.0
2017,12,2.0,2.0,-4.0,4.0
2018,1,6.0,6.0,-1.0,1.0
2018,3,5.0,5.0,,
2018,5,3.0,3.0,,
2018,6,3.0,3.0,-1.0,1.0
2018,7,1.0,1.0,-1.0,1.0
2018,10,5.0,5.0,,
2018,11,2.0,2.0,-4.0,4.0
2018,12,3.0,3.0,-2.0,2.0
2019,1,1.0,1.0,-4.0,4.0
2019,2,6.0,6.0,-3.0,3.0
2019,3,10.0,10.0,-6.0,6.0
2019,4,8.0,8.0,-7.0,7.0
2019,5,5.0,5.0,-7.0,7.0
2019,6,5.0,5.0,,
2019,7,2.0,2.0,-1.0,1.0
2019,8,5.0,5.0,-1.0,1.0
2019,9,8.0,8.0,-3.0,3.0
2019,10,8.0,8.0,-3.0,3.0
2019,11,12.0,12.0,-3.0,3.0
2019,12,14.0,14.0,-4.0,4.0
2020,1,8.0,8.0,-4.0,4.0
2020,2,7.0,7.0,-2.0,2.0
2020,3,7.0,7.0,-2.0,2.0
2020,4,3.0,3.0,,
2020,5,1.0,1.0,-1.0,1.0
2020,6,1.0,1.0,-5.0,5.0
2020,7,4.0,4.0,-7.0,7.0
2020,8,3.0,3.0,-3.0,3.0
2020,10,9.0,9.0,-2.0,2.0
2020,11,4.0,4.0,-3.0,3.0
2020,12,2.0,2.0,-3.0,3.0
2021,1,2.0,2.0,,
2021,2,3.0,3.0,-6.0,6.0
2021,3,4.0,4.0,-11.0,11.0
2021,4,1.0,1.0,-3.0,3.0
2021,6,2.0,2.0,-1.0,1.0
2021,7,2.0,2.0,,
2021,9,1.0,1.0,-2.0,2.0
2021,10,6.0,6.0,-2.0,2.0
2021,11,2.0,2.0,-1.0,1.0
2021,12,2.0,2.0,-2.0,2.0
2022,1,5.0,5.0,-2.0,2.0
2022,2,3.0,3.0,-2.0,2.0
2022,3,3.0,3.0,-6.0,6.0
2022,4,2.0,2.0,-3.0,3.0
2022,5,4.0,4.0,-2.0,2.0
2022,7,3.0,3.0,-10.0,10.0
2022,8,6.0,6.0,-7.0,7.0
2022,9,11.0,11.0,-2.0,2.0
2022,10,4.0,4.0,,
2011,11,,,-1.0,1.0
2011,12,,,-1.0,1.0
2012,9,,,-2.0,2.0
2015,7,,,-1.0,1.0
2015,11,,,-2.0,2.0
2016,3,,,-1.0,1.0
2016,5,,,-1.0,1.0
2017,6,,,-2.0,2.0
2018,2,,,-3.0,3.0
2018,4,,,-1.0,1.0
2018,9,,,-2.0,2.0
2020,9,,,-8.0,8.0
2021,5,,,-3.0,3.0
2021,8,,,-3.0,3.0
2022,6,,,-5.0,5.0
