person,count
พลเอก ประยุทธ์ จันทร์โอชา,507
พรรณิการ์ วานิช,15
อนุทิน ชาญวีรกูล,116
วิษณุ เครืองาม,85
พลเอก ประวิตร วงษ์สุวรรณ,207
ธนกร วังบุญคงชนะ,66
คณะกรรมการการเลือกตั้ง,353
พรรคอนาคตใหม่-พรรคก้าวไกล,447
จุรินทร์ ลักษณวิศิษฏ์,40
พรรคประชาธิปัตย์,1588
สิระ เจนจาคะ,51
พรรคพลังประชารัฐ,459
ปารีณา ไกรคุปต์,20
พรรคเพื่อไทย,1127
ปิยบุตร แสงกนกกุล,34
ชลน่าน ศรีแก้ว,13
พลเอก อนุพงษ์ เผ่าจินดา,14
พรรคภูมิใจไทย,292
พรรคกล้า,6
ชัยวุฒิ ธนาคมานุสรณ์,11
สันติ พร้อมพัฒน์,6
วีระกร คำประกอบ,2
พรรคไทยภักดี,2
สุริยะ จึงรุ่งเรืองกิจ,16
ร้อยเอก ธรรมนัส พรหมเผ่า,39
สมศักดิ์ เทพสุทิน,14
สุชาติ ตันเจริญ,2
พรรคชาติไทยพัฒนา,81
ชัย ชิดชอบ,10
พลตำรวจเอก จักรทิพย์ ชัยจินดา,10
ชวน หลีกภัย,44
รังสิมันต์ โรม,9
สุทิน คลังแสง,18
ศาลรัฐธรรมนูญ,58
คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,277
ณัฐวุฒิ บัวประทุม,1
ศาลยุติธรรม,41
พลเอก เปรม ติณสูลานนท์,59
พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,33
พิธา ลิ้มเจริญรัตน์,16
เสรี สุวรรณภานนท์,15
ศาลปกครอง,49
ธานี อ่อนละเอียด,2
กนกวรรณ วิลาวัลย์,6
ผู้ตรวจการแผ่นดิน,9
พรรคเพื่อชาติ,8
พิจารณ์ เชาวพัฒนวงศ์,1
ศรัณย์วุฒิ ศรัณย์เกตุ,12
วราวุธ ศิลปอาชา,14
พรรคเสรีรวมไทย,22
พรรคพลังท้องถิ่นไท,7
นิโรธ สุนทรเลขา,6
ยุทธพงศ์ จรัสเสถียร,4
จุติ ไกรฤกษ์,3
นิพนธ์ บุญญามณี,14
เฉลิมชัย ศรีอ่อน,4
อมรัตน์ โชคปมิตต์กุล,8
ศักดิ์สยาม ชิดชอบ,19
ธนาธร จึงรุ่งเรืองกิจ,88
ทักษิณ ชินวัตร,253
พรรคประชาชาติ,11
พรรคเศรษฐกิจไทย,16
ประเสริฐ จันทรรวงทอง,1
จิรายุ ห่วงทรัพย์,7
สุพัฒนพงษ์ พันธ์มีเชาว์,1
สำลี รักสุทธี,1
ไพบูลย์ นิติตะวัน,18
ผ่องศรี แซ่จึง,2
วิโรจน์ ลักขณาอดิศร,5
อุตตม สาวนายน,20
พรรคสร้างอนาคตไทย,4
วิรัช รัตนเศรษฐ,9
ถาวร เสนเนียม,7
เทวัญ ลิปตพัลลภ,4
พรรคชาติพัฒนา,5
ปดิพัทธ์ สันติภาดา,3
ถวิล เปลี่ยนศรี,11
พลตำรวจเอก สุวัฒน์ แจ้งยอดสุข,1
พรรคเศรษฐกิจใหม่,14
มิ่งขวัญ แสงสุวรรณ์,10
สุเทพ อู่อ้น,1
เอกราช ช่างเหลา,1
วัฒนา ช่างเหลา,1
สุรเชษฐ์ ประวีณวงศ์วุฒิ,1
พรรคไทรักธรรม,1
นิกร จำนง,4
ธีรรัตน์ สำเร็จวาณิชย์,1
พรพิมล ธรรมสาร,6
พรรคไทยศรีวิไลย์,16
คารม พลพรกลาง,4
ณัฐชา บุญไชยอินสวัสดิ์,2
คำนูณ สิทธิสมาน,12
นฤมล ภิญโญสินวัฒน์,6
กรณ์ จาติกวณิช,4
อนุชา นาคาศัย,7
จิรวัฒน์ อรัณยกานนท์,1
พรรครวมไทยสร้างชาติ,1
ชาดา ไทยเศรษฐ์,3
พลอากาศเอก แอร์บูล สุทธิวรรณ,2
สมพงษ์ อมรวิวัฒน์,4
พลอากาศตรี เฉลิมชัย เครืองาม,1
ณัฏฐพล ทีปสุวรรณ,3
สุชาติ ชมกลิ่น,1
พลเอก อภิรัชต์ คงสมพงษ์,67
พุทธิพงษ์ ปุณณกันต์,3
สุวิทย์ เมษินทรีย์,3
สนธิรัตน์ สนธิจิรวงศ์,30
สมคิด จาตุศรีพิทักษ์,8
ไผ่ ลิกค์,1
พรรครักษ์ผืนป่าประเทศไทย,1
ศรีนวล บุญลือ,9
กวินนาถ ตาคีย์,2
จารึก ศรีอ่อน,2
พลเอก สุรยุทธ์ จุลานนท์,6
อภิสิทธิ์ เวชชาชีวะ,219
พันตำรวจโท ไวพจน์ อาภรณ์รัตน์,1
อธิรัฐ รัตนเศรษฐ,1
สาธิต ปิตุเตชะ,7
นิรามาน สุไลมาน,1
สมชาย แสวงการ,1
ดอน ปรมัตถ์วินัย,4
พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,24
มงคลกิตติ์ สุขสินธารานนท์,2
ทูลกระหม่อมหญิงอุบลรัตนราชกัญญา สิริวัฒนาพรรณวดี,7
พรรคไทยรักษาชาติ,9
สมเด็จพระกนิษฐาธิราชเจ้า กรมสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี,5
พรรครวมพลัง,1
เอนก เหล่าธรรมทัศน์,1
พลเอก ประยุทธ์ จันทร์โอชาพรรคประชาธิปัตย์,1
วันชัย สอนศิริ,2
ศาสตราจารย์ (พิเศษ) พรเพชร วิชิตชลชัย,0
คณะกรรมการตรวจเงินแผ่นดิน,1
นาวาอากาศเอก อนุดิษฐ์ นาครทรรพ,3
พลเอก ปรีชา จันทร์โอชา,1
วิรัตน์ วรศสิริน,1
นิคม บุญวิเศษ,2
องอาจ คล้ามไพบูลย์,2
มัลลิกา บุญมีตระกูล มหาสุข,1
